Organisation,SectorJo,RegionCODE,GovCODE,Status,Total,Budget_life,Budget_prevent,Budget_resilient,admin
UNHCR,PROTECTION,2,1704,Ongoing,474359,0,474359,0,Karak
UNHCR,PROTECTION,3,1709,Planned,403737,0,403737,0,Maan
UNHCR,PROTECTION,2,1710,Completed,130000,0,130000,0,Madaba
UNHCR,PROTECTION,1,1711,Ongoing,3672321,2195000,1477321,0,Mafraq
UNHCR,PROTECTION,3,1706,Planned,790994,0,790994,0,Tafileh
UNHCR,PROTECTION,2,1712,Completed,799218,0,799218,0,Zarqa
UPP,PROTECTION,1,1701,Ongoing,2852,0,2852,0,Ajlun
UPP,PROTECTION,2,1702,Planned,50060,24134,25926,0,Al Balqa
UPP,PROTECTION,2,1705,Completed,78301,59374,18927,0,Amman
UPP,PROTECTION,1,1707,Ongoing,28392,2682,25710,0,Irbid
UPP,PROTECTION,2,1704,Planned,38537,24134,14403,0,Karak
UPP,PROTECTION,2,1710,Completed,2170,0,2170,0,Madaba
UPP,PROTECTION,1,1711,Ongoing,4618,0,4618,0,Mafraq
UPP,PROTECTION,2,1712,Planned,13031,0,13031,0,Zarqa
WarChild UK,PROTECTION,1,1707,Completed,92919,38102,54817,0,Irbid
WarChild UK,PROTECTION,1,1708,Ongoing,74024,74024,0,0,Jarash
WarChild UK,PROTECTION,2,1704,Planned,106005,38012,67993,0,Karak
WVI,PROTECTION,1,1707,Completed,218240,0,175000,43240,Irbid
WVI,PROTECTION,2,1712,Ongoing,193240,0,150000,43240,Zarqa
ADRA,SHELTER,2,1705,Planned,150000,0,150000,0,Amman
ADRA,SHELTER,1,1707,Completed,300000,0,300000,0,Irbid
ADRA,SHELTER,1,1711,Ongoing,300000,0,300000,0,Mafraq
Caritas,SHELTER,2,1705,Planned,1400000,1000000,400000,0,Amman
CHF,SHELTER,3,1703,Completed,14400,0,14400,0,Aqaba
CHF,SHELTER,2,1704,Ongoing,14400,0,14400,0,Karak
CHF,SHELTER,3,1709,Planned,14400,0,14400,0,Maan
CHF,SHELTER,3,1706,Completed,14400,0,14400,0,Tafileh
DRC,SHELTER,2,1704,Ongoing,109400,0,109400,0,Karak
Intersos,SHELTER,1,1707,Planned,598500,0,598500,0,Irbid
IOM,SHELTER,2,1705,Completed,1500000,0,1500000,0,Amman
IOM,SHELTER,1,1707,Ongoing,1150000,0,1150000,0,Irbid
IOM,SHELTER,1,1711,Planned,800000,0,800000,0,Mafraq
IR,SHELTER,1,1707,Completed,281512,281512,0,0,Irbid
IR,SHELTER,1,1711,Ongoing,640392,640392,0,0,Mafraq
LWF,SHELTER,1,1711,Planned,141243,141243,0,0,Mafraq
MEDAIR,SHELTER,1,1707,Completed,1763000,0,1718000,45000,Irbid
Mercy Corps,SHELTER,1,1707,Ongoing,850000,0,850000,0,Irbid
Mercy Corps,SHELTER,1,1708,Planned,250000,0,250000,0,Jarash
Mercy Corps,SHELTER,1,1711,Completed,850000,0,850000,0,Mafraq
NRC,SHELTER,1,1707,Ongoing,8890000,0,8890000,0,Irbid
PU-AMI,SHELTER,2,1702,Planned,208000,0,208000,0,Al Balqa
PU-AMI,SHELTER,2,1705,Completed,415000,0,415000,0,Amman
PU-AMI,SHELTER,1,1708,Ongoing,208000,0,208000,0,Jarash
PU-AMI,SHELTER,2,1712,Planned,415000,0,415000,0,Zarqa
TGH,SHELTER,2,1705,Completed,380000,0,380000,0,Amman
TGH,SHELTER,1,1707,Ongoing,250000,0,250000,0,Irbid
UNHABITAT,SHELTER,1,1707,Planned,2850000,0,1000000,1850000,Irbid
UNHABITAT,SHELTER,2,1712,Completed,1500000,0,0,1500000,Zarqa
UNHCR,SHELTER,1,1707,Ongoing,16621700,6200000,10421700,0,Irbid
ACF,WASH,1,1707,Planned,208250,0,208250,0,Irbid
CHF,WASH,3,1703,Completed,28625,13000,15625,0,Aqaba
CHF,WASH,2,1704,Ongoing,28625,13000,15625,0,Karak
CHF,WASH,3,1709,Planned,28625,13000,15625,0,Maan
CHF,WASH,3,1706,Completed,28625,13000,15625,0,Tafileh
JEN,WASH,2,1705,Ongoing,250000,0,250000,0,Amman
JEN,WASH,1,1707,Planned,250000,0,250000,0,Irbid
JEN,WASH,1,1711,Completed,250000,0,250000,0,Mafraq
JEN,WASH,2,1712,Ongoing,250000,0,250000,0,Zarqa
MEDAIR,WASH,1,1711,Planned,1680000,400000,1230000,50000,Mafraq
Mercy Corps,WASH,1,1707,Completed,48899,0,48899,0,Irbid
Mercy Corps,WASH,1,1711,Ongoing,5300000,0,5300000,0,Mafraq
OXFAM,WASH,2,1702,Planned,475050,0,475050,0,Al Balqa
OXFAM,WASH,2,1712,Completed,122500,0,122500,0,Zarqa
RI,WASH,1,1707,Ongoing,4840000,0,4800000,40000,Irbid
RI,WASH,2,1704,Planned,1010000,0,1000000,10000,Karak
RI,WASH,1,1711,Completed,2420000,0,2400000,20000,Mafraq
UNDP,WASH,1,1707,Ongoing,11000000,0,11000000,0,Irbid
UNHABITAT,WASH,1,1711,Planned,1235000,0,0,1235000,Mafraq
UNHCR,WASH,1,1701,Completed,420000,0,0,420000,Ajlun
UNHCR,WASH,1,1707,Ongoing,6482000,0,5028000,1454000,Irbid
UNHCR,WASH,1,1708,Planned,420000,0,0,420000,Jarash
UNHCR,WASH,1,1711,Completed,5070000,0,3612000,1458000,Mafraq
WVI,WASH,1,1707,Ongoing,397500,137500,260000,0,Irbid
WVI,WASH,1,1711,Planned,1500000,0,1500000,0,Mafraq
WVI,WASH,2,1712,Completed,687500,212500,475000,0,Zarqa
